	pref	flag	fixed_num	recall	precision	fscore	fscore
0	tk	icho	50	0.101694915	0.363636364	0.158940397	0.171052632
1	tk	icho	150	0.098360656	0.413793103	0.158940397	0.171052632
2	tk	icho	250	0.094488189	0.5	0.158940397	0.171052632
3	tk	icho	500	0.066666667	0.347826087	0.111888112	0.171052632
4	tk	kaede	50	0	0	0	0.16
5	tk	kaede	150	0	0	0	0.158940397
6	tk	kaede	250	0	0	0	0.158940397
7	tk	kaede	500	0	0	0	0.158940397
8	tk	sonota	50	0.100840336	0.387096774	0.16	0.148648649
9	tk	sonota	150	0.092436975	0.379310345	0.148648649	0.136986301
10	tk	sonota	250	0.076923077	0.333333333	0.125	0.125
11	tk	sonota	500	0.082644628	0.4	0.136986301	0.111888112
12	tk	koyo	50	0.107438017	0.419354839	0.171052632	0.053097345
13	tk	koyo	150	0.109243697	0.393939394	0.171052632	0.047619048
14	tk	koyo	250	0.107438017	0.419354839	0.171052632	0.036036036
15	tk	koyo	500	0.10483871	0.464285714	0.171052632	0.032258065
16	hk	icho	50	0	0	0	0.032258065
17	hk	icho	150	0.009174312	0.047619048	0.015384615	0.032258065
18	hk	icho	250	0	0	0	0.015384615
19	hk	icho	500	0	0	0	0
20	hk	kaede	50	0	0	0	0
21	hk	kaede	150	0	0	0	0
22	hk	kaede	250	0	0	0	0
23	hk	kaede	500	0	0	0	0
24	hk	sonota	50	0.02173913	0.105263158	0.036036036	0
25	hk	sonota	150	0	0	0	0
26	hk	sonota	250	0	0	0	0
27	hk	sonota	500	0	0	0	0
28	hk	koyo	50	0	0	0	0
29	hk	koyo	150	0.032258065	0.15	0.053097345	0
30	hk	koyo	250	0	0	0	0
31	hk	koyo	500	0	0	0	0
32	is	icho	50	0	0	0	0
33	is	icho	150	0	0	0	0
34	is	icho	250	0	0	0	0
35	is	icho	500	0	0	0	0
36	is	kaede	50	0	0	0	0
37	is	kaede	150	0	0	0	0
38	is	kaede	250	0	0	0	0
39	is	kaede	500	0	0	0	0
40	is	sonota	50	0	0	0	0
41	is	sonota	150	0.016393443	1	0.032258065	0
42	is	sonota	250	0.024793388	0.6	0.047619048	0
43	is	sonota	500	0	0	0	0
44	is	koyo	50	0	0	0	0
45	is	koyo	150	0.016393443	1	0.032258065	0
46	is	koyo	250	0.016393443	1	0.032258065	0
47	is	koyo	500	0	0	0	0
